,CDUID,Shape.Area,name,Adjusted.Population..previous.Census.,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,v_CA16_2201..Total...Income.statistics.in.2015.for.the.population.aged.15.years.and.over.in.private.households...100..data
99,2453,608.5711,Pierre-De Saurel (MRC),50900,CD,Pierre-De Saurel (MRC),608.5711,51025,25425,23793,42875
100,2454,1311.69424,Les Maskoutains (MRC),84248,CD,Les Maskoutains (MRC),1311.69424,87099,40244,38016,69520
101,2455,488.26993,Rouville (MRC),35690,CD,Rouville (MRC),488.26993,36536,15470,14939,28725
102,2456,943.59986,Le Haut-Richelieu (MRC),114344,CD,Le Haut-Richelieu (MRC),943.59986,117443,52461,50061,95125
103,2457,604.05732,La Vallée-du-Richelieu (MRC),116773,CD,La Vallée-du-Richelieu (MRC),604.05732,124420,49971,48748,98015
104,2458,283.20858,Longueuil (Tï¿½),399097,CD,Longueuil (Tï¿½),283.20858,415347,183008,175735,340195
105,2459,346.6117,Marguerite-D'Youville (MRC),74416,CD,Marguerite-D'Youville (MRC),346.6117,77550,30532,29942,61340
106,2460,259.27257,L'Assomption (MRC),119840,CD,L'Assomption (MRC),259.27257,124759,50828,49768,101370
107,2461,423.54916,Joliette (MRC),63551,CD,Joliette (MRC),423.54916,66550,30969,29703,53825
108,2462,10459.76578,Matawinie (MRC),49516,CD,Matawinie (MRC),10459.76578,50435,35858,23139,42830
109,2463,717.74053,Montcalm (MRC),48378,CD,Montcalm (MRC),717.74053,52596,23295,21608,42240
110,2464,262.03111,Les Moulins (MRC),148813,CD,Les Moulins (MRC),262.03111,158267,60944,59701,124750
111,2465,247.08643,Laval (Tï¿½),401553,CD,Laval (Tï¿½),247.08643,422993,165686,160328,337490
112,2466,499.897,Montréal (Tï¿½),1886481,CD,Montréal (Tï¿½),499.897,1942044,939112,870373,1591005
113,2467,426.33339,Roussillon (MRC),162187,CD,Roussillon (MRC),426.33339,171443,67868,66264,137210
114,2468,804.55347,Les Jardins-de-Napierville (MRC),26234,CD,Les Jardins-de-Napierville (MRC),804.55347,27870,11789,11205,22250
115,2469,1179.06874,Le Haut-Saint-Laurent (MRC),21197,CD,Le Haut-Saint-Laurent (MRC),1179.06874,22454,12016,9666,18575
116,2470,474.23361,Beauharnois-Salaberry (MRC),61950,CD,Beauharnois-Salaberry (MRC),474.23361,64320,30151,28865,52855
117,2471,861.64785,Vaudreuil-Soulanges (MRC),139353,CD,Vaudreuil-Soulanges (MRC),861.64785,149349,59474,57515,118110
118,2472,244.97777,Deux-Montagnes (MRC),95670,CD,Deux-Montagnes (MRC),244.97777,98203,40728,39748,79205
119,2473,207.61981,Thérèse-De Blainville (MRC),154144,CD,Thérèse-De Blainville (MRC),207.61981,157103,62218,60762,125715
120,2474,486.17064,Mirabel (Tï¿½),41957,CD,Mirabel (Tï¿½),486.17064,50513,20395,19631,39180
121,2475,465.98233,La Rivière-du-Nord (MRC),115165,CD,La Rivière-du-Nord (MRC),465.98233,128170,58580,55009,103060
122,2476,1328.36808,Argenteuil (MRC),32117,CD,Argenteuil (MRC),1328.36808,32389,19081,14789,27135
123,2477,734.32499,Les Pays-d'en-Haut (MRC),40331,CD,Les Pays-d'en-Haut (MRC),734.32499,41877,29723,20698,36415
124,2478,2675.60186,Les Laurentides (MRC),45157,CD,Les Laurentides (MRC),2675.60186,45902,36150,21972,38720
125,2479,16317.3884,Antoine-Labelle (MRC),35159,CD,Antoine-Labelle (MRC),16317.3884,35243,23399,16474,29580
126,2480,3208.05169,Papineau (MRC),22541,CD,Papineau (MRC),3208.05169,22832,15893,10401,19375
127,2481,381.39039,Gatineau (Tï¿½),265349,CD,Gatineau (Tï¿½),381.39039,276245,125608,118385,221340
128,2482,2195.74606,Les Collines-de-l'Outaouais (MRC),46393,CD,Les Collines-de-l'Outaouais (MRC),2195.74606,49094,23164,18756,39225
129,2483,14143.17636,La Vallée-de-la-Gatineau (MRC),20530,CD,La Vallée-de-la-Gatineau (MRC),14143.17636,20182,15363,9392,17145
130,2484,14136.33785,Pontiac (MRC),14358,CD,Pontiac (MRC),14136.33785,14251,10208,6203,11985
131,2485,19250.78559,Témiscamingue (MRC),16425,CD,Témiscamingue (MRC),19250.78559,15980,8992,7129,12960
132,2486,6483.32734,Rouyn-Noranda (Tï¿½),41012,CD,Rouyn-Noranda (Tï¿½),6483.32734,42334,20568,18851,34145
133,2487,3618.84655,Abitibi-Ouest (MRC),21003,CD,Abitibi-Ouest (MRC),3618.84655,20538,10053,9026,16535
134,2488,7940.80138,Abitibi (MRC),24354,CD,Abitibi (MRC),7940.80138,24639,11374,10529,19715
135,2489,27344.644,La Vallée-de-l'Or (MRC),42896,CD,La Vallée-de-l'Or (MRC),27344.644,43226,20224,19040,34735
136,2490,29649.51577,La Tuque (Tï¿½),15130,CD,La Tuque (Tï¿½),29649.51577,15059,8360,6377,11925
137,2491,19364.88786,Le Domaine-du-Roy (MRC),31870,CD,Le Domaine-du-Roy (MRC),19364.88786,31285,16549,13729,25395
138,2492,38264.67146,Maria-Chapdelaine (MRC),25279,CD,Maria-Chapdelaine (MRC),38264.67146,24793,11916,10805,19860
139,2493,3409.01411,Lac-Saint-Jean-Est (MRC),52520,CD,Lac-Saint-Jean-Est (MRC),3409.01411,52741,25450,22909,42650
140,2494,45216.42057,Le Saguenay-et-son-Fjord (CDR),165211,CD,Le Saguenay-et-son-Fjord (CDR),45216.42057,167549,81769,75351,138465
141,2495,12396.62767,La Haute-Côte-Nord (MRC),11546,CD,La Haute-Côte-Nord (MRC),12396.62767,10846,5708,4982,9255
142,2496,39872.84518,Manicouagan (MRC),32012,CD,Manicouagan (MRC),39872.84518,31027,14844,13738,25620
143,2497,111993.6336,Sept-Rivières--Caniapiscau (CDR),39500,CD,Sept-Rivières--Caniapiscau (CDR),111993.6336,39322,19307,16764,31285
144,2498,105021.1672,Minganie--Le Golfe-du-Saint-Laurent (CDR),11708,CD,Minganie--Le Golfe-du-Saint-Laurent (CDR),105021.1672,11323,5297,4462,9110
145,2499,852516.4797,Nord-du-Québec (CDR),42579,CD,Nord-du-Québec (CDR),852516.4797,44561,16179,13673,31640
146,3501,3324.11469,"Stormont, Dundas and Glengarry (UC)",111164,CD,"Stormont, Dundas and Glengarry (UC)",3324.11469,113429,50455,47829,93075
147,3502,2069.63745,Prescott and Russell (UC),85381,CD,Prescott and Russell (UC),2069.63745,89333,36783,35389,72270
148,3506,2892.07371,Ottawa (CDR),883391,CD,Ottawa (CDR),2892.07371,934243,395985,373756,761420
149,3507,3608.53066,Leeds and Grenville (UC),99306,CD,Leeds and Grenville (UC),3608.53066,100546,48226,42749,84770
150,3509,3198.09977,Lanark (CTY),65667,CD,Lanark (CTY),3198.09977,68698,32695,28580,56875
151,3510,4229.26416,Frontenac (CTY),149753,CD,Frontenac (CTY),4229.26416,150475,77155,64295,124720
152,3511,2976.80423,Lennox and Addington (CTY),41809,CD,Lennox and Addington (CTY),2976.80423,42888,19684,17053,34755
153,3512,6337.62419,Hastings (CTY),134934,CD,Hastings (CTY),6337.62419,136445,65136,57017,112650
154,3513,1075.714,Prince Edward (CDR),25258,CD,Prince Edward (CDR),1075.714,24735,12899,10728,21270
155,3514,1990.81677,Northumberland (CTY),82126,CD,Northumberland (CTY),1990.81677,85598,39032,35686,72040
156,3515,4212.72068,Peterborough (CTY),134928,CD,Peterborough (CTY),4212.72068,138236,70551,57743,115245
157,3516,3335.10993,Kawartha Lakes (CDR),73219,CD,Kawartha Lakes (CDR),3335.10993,75423,38444,31106,63510
158,3518,2621.7374,Durham (RM),608124,CD,Durham (RM),2621.7374,645862,233936,227906,523485
159,3519,2097.55376,York (RM),1032524,CD,York (RM),2097.55376,1109909,369928,357084,905545
160,3520,634.43388,Toronto (CDR),2615060,CD,Toronto (CDR),634.43388,2731571,1179057,1112929,2294790
161,3521,1256.39131,Peel (RM),1296809,CD,Peel (RM),1256.39131,1381739,443918,430180,1119400
162,3522,1497.23791,Dufferin (CTY),56881,CD,Dufferin (CTY),1497.23791,61735,22889,21918,49435
163,3523,2699.85005,Wellington (CTY),208360,CD,Wellington (CTY),2699.85005,222726,90846,85281,180355
164,3524,970.08276,Halton (RM),501674,CD,Halton (RM),970.08276,548435,198164,192977,433845
165,3525,1148.04521,Hamilton (CDR),519949,CD,Hamilton (CDR),1148.04521,536917,222918,211596,441055
166,3526,1883.82894,Niagara (RM),431346,CD,Niagara (RM),1883.82894,447888,196241,183828,371560
167,3528,2921.12259,Haldimand-Norfolk (CDR),109118,CD,Haldimand-Norfolk (CDR),2921.12259,109787,48249,43559,90160
168,3529,1106.37275,Brant (CDR),136035,CD,Brant (CDR),1106.37275,134808,54626,52722,108525
169,3530,1385.33684,Waterloo (RM),507096,CD,Waterloo (RM),1385.33684,535154,214299,203832,432125
170,3531,2224.26375,Perth (CTY),75112,CD,Perth (CTY),2224.26375,76796,31747,30713,61425
171,3532,2051.98961,Oxford (CTY),105719,CD,Oxford (CTY),2051.98961,110862,45350,44266,89450
172,3534,1887.24282,Elgin (CTY),87461,CD,Elgin (CTY),1887.24282,88978,36613,34995,70935
173,3536,2487.64299,Chatham-Kent (CDR),104075,CD,Chatham-Kent (CDR),2487.64299,102042,46287,43174,83060
174,3537,1868.69299,Essex (CTY),388782,CD,Essex (CTY),1868.69299,398953,168569,159053,324325
175,3538,3036.49749,Lambton (CTY),126199,CD,Lambton (CTY),3036.49749,126638,59777,54481,105015
176,3539,3335.93054,Middlesex (CTY),439151,CD,Middlesex (CTY),3335.93054,455526,203349,190045,373875
177,3540,3418.36028,Huron (CTY),59100,CD,Huron (CTY),3418.36028,59297,28369,24194,47870
178,3541,4153.50575,Bruce (CTY),66102,CD,Bruce (CTY),4153.50575,68147,41183,28866,55970
179,3542,4549.58378,Grey (CTY),92568,CD,Grey (CTY),4549.58378,93830,47560,39563,77895
180,3543,5332.70199,Simcoe (CTY),446063,CD,Simcoe (CTY),5332.70199,479650,206549,183536,392185
181,3544,4527.90075,Muskoka (DM),58017,CD,Muskoka (DM),4527.90075,60599,46207,25431,50765
182,3546,4559.78767,Haliburton (CTY),17056,CD,Haliburton (CTY),4559.78767,18062,21113,8443,16070
183,3547,8059.04548,Renfrew (CTY),101326,CD,Renfrew (CTY),8059.04548,102394,49860,42779,82830
184,3548,19571.74354,Nipissing (DIS),84736,CD,Nipissing (DIS),19571.74354,83150,41200,36050,68990
185,3549,10288.88426,Parry Sound (DIS),42162,CD,Parry Sound (DIS),10288.88426,42824,35226,18679,36460
186,3551,3374.78274,Manitoulin (DIS),13048,CD,Manitoulin (DIS),3374.78274,13255,9537,5748,10845
187,3552,43988.4152,Sudbury (DIS),21196,CD,Sudbury (DIS),43988.4152,21546,12557,9375,18325
188,3553,3633.00647,Greater Sudbury (CDR),160376,CD,Greater Sudbury (CDR),3633.00647,161647,75103,69200,133730
189,3554,14370.60505,Timiskaming (DIS),32634,CD,Timiskaming (DIS),14370.60505,32251,16862,14395,26765
190,3556,145707.4322,Cochrane (DIS),81122,CD,Cochrane (DIS),145707.4322,79682,37974,34012,64990
191,3557,52346.84202,Algoma (DIS),115870,CD,Algoma (DIS),52346.84202,114094,60324,51071,96055
192,3558,119028.7556,Thunder Bay (DIS),146057,CD,Thunder Bay (DIS),119028.7556,146048,72551,62999,121265
193,3559,18663.0008,Rainy River (DIS),20370,CD,Rainy River (DIS),18663.0008,20110,11217,8432,16245
194,3560,444782.942,Kenora (DIS),57607,CD,Kenora (DIS),444782.942,65533,31191,23931,50235
195,4601,15581.61591,Division No.  1 (CDR),17331,CD,Division No.  1 (CDR),15581.61591,18534,17236,8080,15240
196,4602,4442.718,Division No.  2 (CDR),66045,CD,Division No.  2 (CDR),4442.718,75571,26604,25466,55645
197,4603,5310.97078,Division No.  3 (CDR),50679,CD,Division No.  3 (CDR),5310.97078,54796,19419,18719,39890
198,4604,4646.55839,Division No.  4 (CDR),9989,CD,Division No.  4 (CDR),4646.55839,9986,4206,3702,7125
199,4605,8476.30935,Division No.  5 (CDR),12922,CD,Division No.  5 (CDR),8476.30935,13176,6945,5442,10175
200,4606,4073.05184,Division No.  6 (CDR),10025,CD,Division No.  6 (CDR),4073.05184,10317,4703,4102,7880
201,4607,6379.1691,Division No.  7 (CDR),65084,CD,Division No.  7 (CDR),6379.1691,68746,29333,27632,52875
202,4608,5901.40607,Division No.  8 (CDR),13444,CD,Division No.  8 (CDR),5901.40607,13968,5008,4638,9530
203,4609,3085.23156,Division No.  9 (CDR),23489,CD,Division No.  9 (CDR),3085.23156,24391,9807,9169,17615
204,4610,1925.41361,Division No. 10 (CDR),10673,CD,Division No. 10 (CDR),1925.41361,11941,3786,3678,8310
205,4611,583.4318,Division No. 11 (CDR),666832,CD,Division No. 11 (CDR),583.4318,708823,295343,282116,574035
206,4612,1862.26153,Division No. 12 (CDR),21830,CD,Division No. 12 (CDR),1862.26153,23683,9300,8875,18995
207,4613,1830.92376,Division No. 13 (CDR),46888,CD,Division No. 13 (CDR),1830.92376,49086,20847,18426,40130
208,4614,2897.053,Division No. 14 (CDR),18497,CD,Division No. 14 (CDR),2897.053,18621,6967,6652,13945
209,4615,8973.12229,Division No. 15 (CDR),20837,CD,Division No. 15 (CDR),8973.12229,21379,10696,8564,16470
210,4616,4932.07087,Division No. 16 (CDR),9928,CD,Division No. 16 (CDR),4932.07087,9848,4986,4121,7740
211,4617,14497.91781,Division No. 17 (CDR),22208,CD,Division No. 17 (CDR),14497.91781,22205,11646,9459,17255
212,4618,15482.69681,Division No. 18 (CDR),23469,CD,Division No. 18 (CDR),15482.69681,24036,15528,10038,19295
213,4619,85991.32245,Division No. 19 (CDR),17240,CD,Division No. 19 (CDR),85991.32245,16518,7984,4817,11155
214,4620,10136.68009,Division No. 20 (CDR),9952,CD,Division No. 20 (CDR),10136.68009,9621,4919,4177,7765
215,4621,61692.80905,Division No. 21 (CDR),21393,CD,Division No. 21 (CDR),61692.80905,21983,9162,7863,16215
216,4622,107943.904,Division No. 22 (CDR),40923,CD,Division No. 22 (CDR),107943.904,42165,12356,10891,28030
217,4623,272983.9444,Division No. 23 (CDR),8590,CD,Division No. 23 (CDR),272983.9444,8971,2967,2423,5995
218,4701,15388.51986,Division No.  1 (CDR),31333,CD,Division No.  1 (CDR),15388.51986,31766,15738,12890,24990
219,4702,17309.12307,Division No.  2 (CDR),22266,CD,Division No.  2 (CDR),17309.12307,22825,10741,9389,17830
220,4703,18983.8094,Division No.  3 (CDR),12691,CD,Division No.  3 (CDR),18983.8094,12610,6173,5358,9935
221,4704,21716.98174,Division No.  4 (CDR),10879,CD,Division No.  4 (CDR),21716.98174,10854,5262,4181,7765
222,4705,15119.61235,Division No.  5 (CDR),32007,CD,Division No.  5 (CDR),15119.61235,31750,15738,13560,25295
223,4706,18023.99087,Division No.  6 (CDR),237746,CD,Division No.  6 (CDR),18023.99087,262837,116531,105686,209470
224,4707,20009.62139,Division No.  7 (CDR),46648,CD,Division No.  7 (CDR),20009.62139,47195,22895,19760,37050
225,4708,22877.41515,Division No.  8 (CDR),29962,CD,Division No.  8 (CDR),22877.41515,30718,14534,12759,23860
226,4709,15666.17001,Division No.  9 (CDR),35314,CD,Division No.  9 (CDR),15666.17001,35634,18041,15297,28490
227,4710,13142.58381,Division No. 10 (CDR),17546,CD,Division No. 10 (CDR),13142.58381,16563,8427,6980,12975
228,4711,17427.82615,Division No. 11 (CDR),271170,CD,Division No. 11 (CDR),17427.82615,303423,129632,119128,240010
229,4712,14378.13535,Division No. 12 (CDR),23228,CD,Division No. 12 (CDR),14378.13535,23986,10076,9226,18245
230,4713,18172.21015,Division No. 13 (CDR),23089,CD,Division No. 13 (CDR),18172.21015,23224,10510,9107,17650
231,4714,34853.39759,Division No. 14 (CDR),37195,CD,Division No. 14 (CDR),34853.39759,36096,18261,15225,28780
232,4715,20716.32473,Division No. 15 (CDR),83725,CD,Division No. 15 (CDR),20716.32473,85908,38751,32232,65125
233,4716,23468.87193,Division No. 16 (CDR),37845,CD,Division No. 16 (CDR),23468.87193,37999,18762,14663,28845
234,4717,23765.53619,Division No. 17 (CDR),44180,CD,Division No. 17 (CDR),23765.53619,47900,22846,16947,35645
235,4718,321365.1735,Division No. 18 (CDR),36557,CD,Division No. 18 (CDR),321365.1735,37064,12664,10234,25295
