cgndb,2019070112,2019070113,2019070114,2019070115,2019070116,2019070117,2019070118,2019070119,2019070120,2019070121,2019070122,2019070123,2019070200,2019070201,2019070202,2019070203,2019070204,2019070205,2019070206,2019070207,2019070208,2019070209,2019070210,2019070211,2019070212,2019070213,2019070214,2019070215,2019070216,2019070217,2019070218,2019070219,2019070220,2019070221,2019070222,2019070223,2019070300,2019070301,2019070302,2019070303,2019070304,2019070305,2019070306,2019070307,2019070308,2019070309,2019070310,2019070311,2019070312
EGLTT,,1.22,1.23,1.25,1.30,1.28,1.27,1.28,1.36,1.41,1.42,1.35,1.28,1.29,1.40,1.55,1.61,1.50,1.25,1.08,1.06,1.18,1.27,1.32,1.33,1.38,1.48,1.60,1.71,1.76,1.73,1.68,1.60,1.52,1.44,1.37,1.33,1.40,1.55,1.70,1.75,1.62,1.48,1.42,1.55,1.80,2.09,2.47,2.89
EHHUN,,1.79,1.83,1.91,2.06,2.13,2.13,2.09,2.05,2.07,2.10,2.11,2.00,1.88,1.71,1.57,1.47,1.42,1.35,1.25,1.23,1.30,1.37,1.37,1.36,1.44,1.59,1.77,1.93,2.05,2.11,2.09,1.99,1.84,1.71,1.60,1.52,1.50,1.50,1.51,1.47,1.46,1.50,1.56,1.66,1.80,2.01,2.28,2.69
EHTWR,,1.48,1.55,1.72,1.96,2.24,2.48,2.64,2.69,2.65,2.55,2.37,2.12,1.94,1.87,1.94,1.93,1.85,1.62,1.36,1.15,1.01,0.94,0.90,0.94,1.09,1.23,1.32,1.32,1.27,1.25,1.24,1.24,1.21,1.16,1.10,1.10,1.18,1.28,1.35,1.35,1.34,1.37,1.43,1.51,1.59,1.65,1.66,1.67

