Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
11024,Marten Creek Sour Gas Plant 10-02,Tidewater Midstream and Infrastructure Ltd.,N/A,,N/A,Alberta,55.644,-114.6597,10.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Oil and Gas Extraction (except oil sands),http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=211110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11024-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111024&GoCTemplateCulture=en-CA
"
11025,Chalk River Laboratories,Canadian Nuclear Laboratories,Chalk River, 286 Plant Road,K0J1J0,Ontario,46.0554,-77.3628,33.21,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,"All other professional, scientific and technical services",http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=541990,https://climate-change.canada.ca/facility-emissions/GHGRP-G11025-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111025&GoCTemplateCulture=en-CA
"
11026,Toronto Brewery,Molson Coors Canada,Toronto, 1 Carlingview Drive,M9W5E5,Ontario,43.6748,-79.5883,13.85,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Breweries,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=312120,https://climate-change.canada.ca/facility-emissions/GHGRP-G11026-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111026&GoCTemplateCulture=en-CA
"
11027,4 CDSB Petawawa - Garrison Petawawa,DEPARTMENT OF NATIONAL DEFENCE,Petawawa, 101 Menin Road,K8H2X3,Ontario,45.9105,-77.292,31.66,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Defense Services,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=911110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11027-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111027&GoCTemplateCulture=en-CA
"
11028,Moorefield,"Rothsay, a Division of Darling International Canada Inc.",Moorefield," 8406 Wellington County Road #7, RR #1 Road",N0G 2K0,Ontario,43.8144,-80.7153,24.37,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Rendering and meat processing from carcasses,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311614,https://climate-change.canada.ca/facility-emissions/GHGRP-G11028-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111028&GoCTemplateCulture=en-CA
"
11029,Bantry Sour Gas Plant,AltaGas Ltd.,Tilley,,T0J3K0,Alberta,50.4715,-111.6065,15.22,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Natural Gas Distribution,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=221210,https://climate-change.canada.ca/facility-emissions/GHGRP-G11029-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111029&GoCTemplateCulture=en-CA
"
11030,Edmonton Ethane Extraction Plant,AltaGas Ltd.,Edmonton,,T6N1A5,Alberta,53.4542,-113.5038,11.71,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Oil and Gas Extraction (except oil sands),http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=211110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11030-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111030&GoCTemplateCulture=en-CA
"
11031,CFB Esquimalt - Dockyard,DEPARTMENT OF NATIONAL DEFENCE,Victoria,  Canadian Forces Base Esquimalt,V9A7N2,British Columbia,48.4314,-123.4322,13.77,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Defense Services,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=911110,https://climate-change.canada.ca/facility-emissions/GHGRP-G11031-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111031&GoCTemplateCulture=en-CA
"
11032,Usine de production de polystyrène expansible,Styrochem Canada Ltd,Baie-D'Urfé, 19250 Clark Graham,H9X3R8,Quebec,45.4201,-73.9219,10.68,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Resin & Synthetic Rubber Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=325210,https://climate-change.canada.ca/facility-emissions/GHGRP-G11032-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111032&GoCTemplateCulture=en-CA
"
11033,General Mills - Winnipeg,General Mills Canada,Winnipeg,  Chevrier Boulevard,R3T1Y7,Manitoba,49.8241,-97.1764,5.01,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,All Other Food Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=311990,https://climate-change.canada.ca/facility-emissions/GHGRP-G11033-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0111033&GoCTemplateCulture=en-CA
"
