,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
39,1307,3730.88498,Westmorland (CT),144158,13,CD,Westmorland (CT),3730.88498,149623,71839,64038,15.8,0.000109602,3605,0.025007284,7140,0.049528989
40,1308,4624.65296,Kent (CT),30833,13,CD,Kent (CT),4624.65296,30475,16251,13236,16.8,0.000544871,3955,0.128271657,290,0.009405507
41,1309,13040.19468,Northumberland (CT),46204,13,CD,Northumberland (CT),13040.19468,44952,21792,19362,18.3,0.00039607,3625,0.078456411,410,0.008873691
42,1310,8390.347,York (CT),97238,13,CD,York (CT),8390.347,99411,46855,42009,16.4,0.000168658,4265,0.043861453,6445,0.066280672
43,1311,3353.83945,Carleton (CT),27019,13,CD,Carleton (CT),3353.83945,26220,11823,10765,19.1,0.00070691,935,0.034605278,525,0.019430771
44,1312,5583.0148,Victoria (CT),19921,13,CD,Victoria (CT),5583.0148,18617,9178,8159,22,0.001104362,1605,0.080568245,115,0.005772803
45,1313,3494.94803,Madawaska (CT),33422,13,CD,Madawaska (CT),3494.94803,32741,15774,14505,18.2,0.000544551,1030,0.030818024,480,0.014361798
46,1314,8675.29468,Restigouche (CT),32594,13,CD,Restigouche (CT),8675.29468,30955,15259,13993,21,0.00064429,2120,0.065042646,395,0.012118795
47,1315,4795.582,Gloucester (CT),79943,13,CD,Gloucester (CT),4795.582,78444,38789,34701,19.5,0.000243924,3025,0.037839461,770,0.009631863
48,2401,238.56838,Les Îles-de-la-Madeleine (Tï¿½),12781,24,CD,Les Îles-de-la-Madeleine (Tï¿½),238.56838,12475,6477,5534,11,0.000860653,220,0.017213051,45,0.003520851
49,2402,3092.78658,Le Rocher-Percé (MRC),17979,24,CD,Le Rocher-Percé (MRC),3092.78658,17282,8969,8022,19.1,0.001062351,2215,0.123199288,90,0.00500584
