cgndb,2019070112,2019070113,2019070114,2019070115,2019070116,2019070117,2019070118,2019070119,2019070120,2019070121,2019070122,2019070123,2019070200,2019070201,2019070202,2019070203,2019070204,2019070205,2019070206,2019070207,2019070208,2019070209,2019070210,2019070211,2019070212,2019070213,2019070214,2019070215,2019070216,2019070217,2019070218,2019070219,2019070220,2019070221,2019070222,2019070223,2019070300,2019070301,2019070302,2019070303,2019070304,2019070305,2019070306,2019070307,2019070308,2019070309,2019070310,2019070311,2019070312
EGLTT,,1.12,1.17,1.26,1.37,1.41,1.43,1.46,1.55,1.63,1.70,1.69,1.65,1.64,1.71,1.82,1.87,1.74,1.52,1.30,1.21,1.23,1.28,1.35,1.35,1.42,1.49,1.59,1.65,1.74,1.82,1.87,1.85,1.79,1.72,1.68,1.67,1.69,1.73,1.75,1.78,1.67,1.55,1.42,1.39,1.46,1.55,1.74,1.98
EHHUN,,1.36,1.44,1.61,1.83,1.98,2.08,2.11,2.14,2.18,2.28,2.38,2.39,2.32,2.21,2.10,1.99,1.87,1.78,1.70,1.69,1.68,1.68,1.66,1.70,1.78,1.87,1.95,2.09,2.25,2.40,2.48,2.51,2.50,2.46,2.40,2.31,2.23,2.16,2.12,2.05,2.02,1.95,1.90,1.85,1.84,1.85,1.91,2.06
EHTWR,,1.37,1.45,1.61,1.79,2.01,2.28,2.47,2.56,2.49,2.40,2.28,2.21,2.14,2.12,2.11,2.10,2.02,1.84,1.57,1.33,1.22,1.20,1.22,1.24,1.34,1.43,1.51,1.52,1.52,1.55,1.55,1.56,1.53,1.53,1.56,1.57,1.58,1.57,1.59,1.55,1.49,1.40,1.32,1.29,1.32,1.37,1.35,1.39

